"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2060653739049152921","2026-05-30T09:34:13.000Z","0","Yang terbaru: blackout sumatera karna cuaca extrem, ""anak bupati positif ganja"" karna terpapar asap dari toilet 😂","2060656011858579596","","kalistohenituse","in","","0","1","0","https://x.com/kalistohenituse/status/2060656011858579596","1478639074038607872","kalistohenituse"
"2060260382556729470","2026-05-29T07:22:07.000Z","0","Sejak Jumat pekan lalu, blackout yang terjadi di 5 provinsi Sumatera tidak hanya menyebabkan kerugian ekonomi masyarakat tetapi juga menyebabkan korban meninggal dunia.
https://t.co/S55jrWG11O","2060260382556729470","","","in","","0","0","0","https://x.com/magdaleneid/status/2060260382556729470","1521159020","magdaleneid"
"2060267190524497979","2026-05-29T07:49:10.000Z","0","Untung d jlnan bnyak bapak polda riau jdi bsa plg rmh dngan slmat pas lmpu mti smuaa  

https://t.co/4UM0Z9y1Bz","2060267190524497979","","","in","","0","0","0","https://x.com/NurhakimahSepti/status/2060267190524497979","1419591690977878021","NurhakimahSepti"
"2059147806640837097","2026-05-26T05:41:08.000Z","1","Anggota Komisi VI DPR RI Fraksi PKB, Nasim Khan, mendesak pemerintah dan PT PLN (Persero) segera melakukan evaluasi total pasca pemadaman listrik massal (blackout) di Pulau Sumatera yang terjadi sejak Jumat (22/5/2026) malam.

Nasim menilai blackout tersebut bukan hanya","2059147806640837097","","","in","","0","0","0","https://x.com/tribunnews/status/2059147806640837097","124171593","tribunnews"
"2058187297439551571","2026-05-23T14:04:25.000Z","151","Blackout Sumatera bukan sekadar “mati lampu biasa”...

Diduga ada gangguan di jalur transmisi utama yang menyebabkan sistem listrik satu pulau kehilangan keseimbangan...

Karena jaringan listrik Sumatera saling terhubung, satu gangguan bisa memicu efek domino ke jutaan rumah https://t.co/PLDYBCudZn","2058187297439551571","https://pbs.twimg.com/ext_tw_video_thumb/2058186956362993664/pu/img/Op-G0_rNTcGwHvp6.jpg","","in","","4","19","63","https://x.com/ferizandra/status/2058187297439551571","80559922","ferizandra"
"2058052719794078197","2026-05-23T05:09:39.000Z","20","Listrik di sejumlah wilayah di Pulau Sumatera padam sejak Jumat (22/5/2026) sore. PT Perusahaan Listrik Negara (PLN) menyebut pemadaman itu karena 540 penyulang rusak akibat cuaca ekstrem dan kini sudah 173 di antaranya sudah dipulihkan.

&gt;&gt; https://t.co/4PrVOGDjCi https://t.co/VGQTo7M4rz","2058052719794078197","https://pbs.twimg.com/media/HI-r71SagAAun5j.jpg","","in","","4","3","10","https://x.com/detikcom/status/2058052719794078197","69183155","detikcom"
"2058478716637049143","2026-05-24T09:22:25.000Z","2841","Blackout Sumatera makan korban jiwa, 4 orang meninggal akibat keracunan asap genset.
Kelakuan pihak PLN ini lebih serem dari pocong! https://t.co/Gbm2m4xA1T","2058478716637049143","https://pbs.twimg.com/ext_tw_video_thumb/2058478196178464768/pu/img/10YQg-zxCgN1S99o.jpg","","in","","9","26","839","https://x.com/Uniliswara0/status/2058478716637049143","2054833974577602560","Uniliswara0"
"2058842445312594248","2026-05-25T09:27:45.000Z","81","Bareskrim Polri membantah keras blackout Sumatera adalah sabotase tapi karena kesalahan teknis dan cuaca yg ekstrim :""Bila sabotase pasti potongannya lebih rapi""

Kalian percaya? 🤣🤣 https://t.co/QC6tQEFZZe","2058842445312594248","https://pbs.twimg.com/ext_tw_video_thumb/2058842276043116544/pu/img/UEPdzWb1JmJJ2q6R.jpg","","in","","4","29","32","https://x.com/AnKiiim_/status/2058842445312594248","1603276472814567425","AnKiiim_"
"2060193081497166156","2026-05-29T02:54:41.000Z","0","Polda riau mngantisipasi bnyak lka lantas d jlan glp dgan grak cpet bgt mntap bpak pol  

https://t.co/GKdbN2csYR","2060193081497166156","","","in","","0","0","0","https://x.com/bagusbudianto0/status/2060193081497166156","1699687987376975872","bagusbudianto0"
"2060496409905041721","2026-05-29T23:00:00.000Z","2","Praktisi hukum: PLN wajib beri kompensasi akibat blackout di Sumatera

https://t.co/bbZ4B02Zxh","2060496409905041721","","","in","","0","0","1","https://x.com/RadioElshinta/status/2060496409905041721","121640063","RadioElshinta"
"2060191977656988057","2026-05-29T02:50:18.000Z","0","Apresiasi tinggi bwat polda riau yg udh bkin rsa aman pas pdam massal kmren loh mnteb  

https://t.co/433nVGyY9v","2060191977656988057","","","in","","0","0","0","https://x.com/ArifSuhendaar/status/2060191977656988057","1729729718830907392","ArifSuhendaar"
"2058865664413036663","2026-05-25T11:00:00.000Z","673","Polisi: Tak Ada Unsur Kesengajaan dalam Blackout Sumatera https://t.co/5E0I6JYMr4","2058865664413036663","https://pbs.twimg.com/media/HJKJAbbbwAA9Mni.jpg","","in","","201","274","113","https://x.com/tempodotco/status/2058865664413036663","18129942","tempodotco"
"2058806041064915198","2026-05-25T07:03:05.000Z","1","Bareskrim Polri menyatakan tidak ditemukan unsur sabotase dalam peristiwa pemadaman massal atau blackout aliran listrik di Sumatera.
https://t.co/sgeS2kGh1v","2058806041064915198","","","in","","1","0","1","https://x.com/republikaonline/status/2058806041064915198","22126902","republikaonline"
"2060265324315021328","2026-05-29T07:41:45.000Z","0","Lmpu mti tp ptroly polda riau ttp jlan trus biar gda tndak krminal mksih y pak pol  

https://t.co/FQtWc8SZgg","2060265324315021328","","","in","","0","0","0","https://x.com/ntshnrhazrati/status/2060265324315021328","2000783370675216388","ntshnrhazrati"
"2058054673186295829","2026-05-23T05:17:25.000Z","6","dirut PLN menyampaikan permohonan maaf terkait insiden pemadaman listrik di sumatera.

#PLN #sumatera #blackout https://t.co/ZLUD3MkzZZ","2058054673186295829","https://pbs.twimg.com/ext_tw_video_thumb/2058054619314757632/pu/img/okdBKuUW5UgjT-wz.jpg","","in","","2","8","1","https://x.com/archeerl/status/2058054673186295829","2023873008260333568","archeerl"
"2060169894226751870","2026-05-29T01:22:33.000Z","1","Blackout Sumatera Harus Jadi Peringatan untuk Perkuat Transmisi https://t.co/79EPjeqU4x","2060169894226751870","","","in","","0","0","1","https://x.com/Kilas_berita_/status/2060169894226751870","2544978158","Kilas_berita_"
"2060163163224756362","2026-05-29T00:55:48.000Z","3","Blackout massal di Sumatera pekan lalu menjadi alarm keras bagi sektor energi nasional.

Blackout massal adalah peristiwa pemadaman listrik yang terjadi secara luas dan serentak di banyak wilayah dalam satu jaringan sistem kelistrikan.
 https://t.co/LQezCsD4gZ","2060163163224756362","","","in","","0","1","1","https://x.com/tribunnews/status/2060163163224756362","124171593","tribunnews"
"2062115950053527926","2026-06-03T23:56:24.000Z","0","@anneserlo Kepekaan apa? Blackout Sumatera saja ga ada yang ngomong","2062322539632955755","","anneserlo","in","","0","0","0","https://x.com/hiem8382189/status/2062322539632955755","1976436608510590977","hiem8382189"
"2060652520238718997","2026-05-30T09:20:20.000Z","1","Pemadaman listrik massal atau blackout yang melanda sebagian besar wilayah Sumatera pada 22 Mei lalu menjadi sorotan nasional. Gangguan yang berdampak pada jutaan pelanggan ini sempat melumpuhkan aktivitas masyarakat, layanan publik hingga komunikasi di sejumlah daerah. Hasil https://t.co/RHLwcRfEjo","2060652520238718997","https://pbs.twimg.com/media/HJjoiEFbMAAilZJ.jpg","","in","","0","0","0","https://x.com/RadioElshinta/status/2060652520238718997","121640063","RadioElshinta"
"2060192546803089617","2026-05-29T02:52:34.000Z","0","keren polda riau bsa bkin bdn ttp fkus jg kmanan pas mti lmpu  

https://t.co/NCRI322yST","2060192546803089617","","","in","","0","0","0","https://x.com/MayaAudila/status/2060192546803089617","1349922249667608579","MayaAudila"
"2058158057197359129","2026-05-23T12:08:14.000Z","87","Kasian Masyarakat dirugikan PLN dan PLN diuntungkan

Dual Hal Kontras yang terjadi ketika PLN m4ti Total di Pulau Sumatera ( Blackout )

Jumat 22 Mei 2026 menjadi sejarah Buruk bagi PLN Indonesia khususnya Pulau Sumatera🥹

PLN  di pulau Sumatera M4ti total tanpa ada sebuah https://t.co/QulOgRNMrA","2058158057197359129","https://pbs.twimg.com/media/HJAL14KagAADRJP.jpg","","in","","3","16","25","https://x.com/trunkszoldyck/status/2058158057197359129","1764105665180794880","trunkszoldyck"
"2059204252342395125","2026-05-26T09:25:26.000Z","44","Dan terjadi lg rugikan rakyat. 
Insiden ini memperlihatkan pola gangguan yang terus berulang.
Pemadaman listrik massal (blackout) di Pulau Sumatera.

Sebagai Komisaris PLN Nusantara Power, sorotan publik tertuju pada figur seperti Ade Armando, yang sering dikritik karena lebih https://t.co/HgddLkbCkK","2059204252342395125","https://pbs.twimg.com/media/HJPDWezaUAArR-1.jpg","","in","","0","10","32","https://x.com/_Rizmaya__/status/2059204252342395125","382522068","_Rizmaya__"
"2062504381946454253","2026-06-04T12:38:45.000Z","0","@chekygirl_ Testi kak sha😭aku pas blackout di Sumatera serasa lagi touring ke zaman purbakala😭","2062514393645240472","","chekygirl_","in","","0","1","0","https://x.com/Rubywoniee/status/2062514393645240472","1950412201040498688","Rubywoniee"
"2058817879555105071","2026-05-25T07:50:08.000Z","47","Pemadaman listrik massal melanda Pulau Sumatera sejak Jumat (22/5/2026). Menurut PT PLN (Persero), gangguan cuaca diduga menjadi pemicu awal, yang kemudian menimbulkan efek berantai hingga mengganggu sistem kelistrikan di berbagai daerah.

| Narasi Daily https://t.co/sWd9XcnlyG","2058817879555105071","https://pbs.twimg.com/media/HJJj8mtbsAArNUJ.jpg","","in","","0","4","11","https://x.com/NarasiNewsroom/status/2058817879555105071","1158355819512991747","NarasiNewsroom"
"2058838950660485280","2026-05-25T09:13:51.000Z","0","Baca selengkapnya: https://t.co/uSa1JEyc3T

Wamen ESDM Yuliot Tanjung mengungkap penyebab blackout di Sumatera. Ia mengatakan pemadaman listrik tersebut terjadi akibat jaringan transmisi yang tersambar petir.

~MS #blackoutsumatera #wamenesdm #penyebabblackoutsumatera https://t.co/Apf1FT2lRG","2058838950660485280","https://pbs.twimg.com/media/HJJ214EaQAAkvzf.jpg","","in","","0","0","0","https://x.com/kompascom/status/2058838950660485280","23343960","kompascom"
"2060266838723121369","2026-05-29T07:47:46.000Z","0","bisa d prcaya emg polda riau klo urusan kmanan d jlnan mntap lah  

https://t.co/1PflhZwmK3","2060266838723121369","","","in","","0","0","0","https://x.com/CindyMonalisa10/status/2060266838723121369","1353885592396828673","CindyMonalisa10"
"2059171079294521511","2026-05-26T07:13:37.000Z","18","Baca selengkapnya: https://t.co/ahfgtrTHZw

Indonesia beberapa kali mengalami blackout dalam enam tahun terakhir, dari Jawa hingga Sumatera. Pemadaman massal itu tak hanya membuat lampu padam, tetapi juga melumpuhkan internet, transportasi publik, hingga aktivitas ekonomi.

~MS https://t.co/z9j529orED","2059171079294521511","https://pbs.twimg.com/media/HJOk7IzbIAAT-Ms.jpg","","in","","0","2","11","https://x.com/kompascom/status/2059171079294521511","23343960","kompascom"
"2058504315413942443","2026-05-24T11:04:08.000Z","1181","Orang Sumatera sekali lagi harus menuntut PLN untuk kasih kompensasi.
Pemadaman ini lebih dari 12 jam, bahkan menyentuh 24 jam.

APALAGI INI SUDAH 2 KALI

Tak terhitung berapa kerugian yang didapat. Bisa milyaran lebih mungkin.

Bahkan kabarnya ada 4 orang meninggal akibat https://t.co/q5F00X8rdw","2058504315413942443","https://pbs.twimg.com/media/HJFGFfnaMAA3Y_g.jpg","","in","","1","10","619","https://x.com/abulmuzaffar10/status/2058504315413942443","909850779749466112","abulmuzaffar10"
"2058919304155009450","2026-05-25T14:33:09.000Z","253","Kejadian padamnya listrik (Blackout) di Sumatera bisa jadi titik awal mslh  PLN yg mulai terbuka.
Penyebabnya diduga krn berkurangnya scr drastis pembangunan infrastruktur oleh PLN selama 10 tahun terakhir.
Ini perlu langkah “darurat” agar kejadian tsb tdk meluas ke daerah lain.","2058919304155009450","","","in","","5","27","74","https://x.com/msaid_didu/status/2058919304155009450","1117990249806721024","msaid_didu"
"2058920992534311140","2026-05-25T14:39:52.000Z","34","Satu Pulau Sebesar Sumatera BLACKOUT alias mati Listrik Total Karena Kabel Sutet yg PuTus⁉️🤔

stelah diCek lagi Oleh AhLi nya Ahli,.. ternyata Gara2 Jemuran CaWet si Mpok Minceu‼️ https://t.co/sBQtXXb5f0","2058920992534311140","https://pbs.twimg.com/media/HJLBuosacAAK-mw.jpg","","in","","0","7","6","https://x.com/AraituLaki/status/2058920992534311140","1118723550649544704","AraituLaki"
"2058862586360451214","2026-05-25T10:47:47.000Z","44","PLN Pamerkan Kabel Sutet Pemicu ""Blackout"" Sumatera 

Baca di: https://t.co/geyzGyfpc7 https://t.co/N3nHpJrj3n","2058862586360451214","https://pbs.twimg.com/amplify_video_thumb/2058862175427665920/img/P5C8d2CuF5UHYkiP.jpg","","in","","29","79","15","https://x.com/kompascom/status/2058862586360451214","23343960","kompascom"
"2058174134325260477","2026-05-23T13:12:07.000Z","79","Melihat kejadian blackout Sumatera, kalian pernah bayangin gak ketika semuanya jadi serba listrik.

1. Motor listrik
2. Mobil listrik
3. Bus listrik
4. Truk listrik
5. Kompor listrik

Bakalan sechaos apa kalo ga segera teratasi?","2058174134325260477","","","in","","1","10","9","https://x.com/bkandewipersik/status/2058174134325260477","1223490090128666624","bkandewipersik"
"2058878242359214568","2026-05-25T11:49:59.000Z","4","Kementerian Energi dan Sumber Daya Mineral (ESDM) menepis keras spekulasi dan isu liar yang menyebut adanya unsur kesengajaan atau sabotase di balik peristiwa gangguan listrik total (blackout) di wilayah Sumatera. Wakil Menteri ESDM, Yuliot Tanjung, menegaskan bahwa pemadaman https://t.co/70ddkdLNDd","2058878242359214568","https://pbs.twimg.com/amplify_video_thumb/2058877920295493632/img/0zUpm0MvVZ8WkXQM.jpg","","in","","0","1","0","https://x.com/Metro_TV/status/2058878242359214568","57261519","Metro_TV"
"2058689500969058489","2026-05-24T23:20:00.000Z","1524","Papua punya cadangan emas terbesar di dunia. 
Tapi angka kemiskinannya tertinggi di Indonesia.

Kalimantan menyumbang devisa besar lewat ekspor sumber daya alam. 
Tapi jalannya masih rusak parah.

Sumatera adalah penyumbang minyak bumi terbesar negeri ini. 
Tapi blackout PLN","2058689500969058489","","","in","","12","27","912","https://x.com/txtharihariWNI/status/2058689500969058489","2044414907349700610","txtharihariWNI"
"2060192357061198297","2026-05-29T02:51:49.000Z","0","trmakasih polda riau udh ksh jminan kmanan pas mti lmpu total  

https://t.co/6xSFGs0ad8","2060192357061198297","","","in","","0","0","0","https://x.com/ARiyanto9453/status/2060192357061198297","1701848841937723392","ARiyanto9453"
"2060265297094103466","2026-05-29T07:41:39.000Z","0","pknbaru jdi g serem pas mti lmpu krn ada polda riau d mna mna  

https://t.co/LQjJS8g5sc","2060265297094103466","","","in","","0","0","0","https://x.com/Riskkaullia/status/2060265297094103466","1997940293795278848","Riskkaullia"
"2058210063781867765","2026-05-23T15:34:53.000Z","567","Pemadaman berskala besar di Sumatera sudah masuk dalam kategori bencana. Ada korban luka, ada korban jiwa. Korban jiwa yang dilaporkan sudah lebih dari dua orang. Lembaga cum @BNPB_Indonesia HARUS udah mulai mengumumkan jumlah korban secara up to date.

Memalukan! @pln_123","2058210063781867765","","","in","","3","64","206","https://x.com/menuembegejelek/status/2058210063781867765","2005984164118777856","menuembegejelek"
"2057847768576880824","2026-05-22T15:35:15.000Z","129","Dosa apa Sumatera sampai kena blackout dan punya menteri kayak Sugiono...","2057847768576880824","","","in","","4","9","25","https://x.com/ridoarbain/status/2057847768576880824","179418626","ridoarbain"
"2058900623106748851","2026-05-25T13:18:55.000Z","7","Wakil Kepala Bareskrim Polri Irjen Nunung Syaifuddin mengungkap dugaan sementara penyebab putusnya kabel transmisi listrik yang memicu pemadaman listrik massal di sebagian besar wilayah Sumatera pada Jumat (22/5/2026)

#HardNews_Sosial #FlashOne #BlackOutSumatera #Sumatera #FO04 https://t.co/j0l8ImVOXJ","2058900623106748851","https://pbs.twimg.com/media/HJKvKpmbwAAUYPH.jpg","","in","","1","0","3","https://x.com/tvOneNews/status/2058900623106748851","55507370","tvOneNews"
"2061066435645067560","2026-05-31T12:45:05.000Z","3","Soroti Blackout Sumatera, IRESS: Warga Butuh Listrik Andal, Tak Cukup Kompensasi
https://t.co/XmqXH4J9Op","2061066435645067560","","","in","","1","0","0","https://x.com/jawapos/status/2061066435645067560","2392460208","jawapos"
"2058035191151821299","2026-05-23T04:00:00.000Z","0","Blackout Lumpuhkan Sumatera, Petir dan Gangguan Jalur Transmisi Diduga Jadi Pemicu

Pemadaman listrik massal atau blackout melanda sejumlah wilayah di Pulau Sumatera pada Jumat (22/5/2026).

Dikutip dari Akurat Sumbar, gangguan terjadi hampir serentak dan berdampak luas mulai https://t.co/PAxXuhm8na","2058035191151821299","https://pbs.twimg.com/media/HI9c4HWbAAAHic8.jpg","","in","","0","1","0","https://x.com/akuratco/status/2058035191151821299","786549338818224128","akuratco"
"2058104395397771499","2026-05-23T08:35:00.000Z","5","PLN mengungkap blackout yang terjadi di sejumlah wilayah Sumatera pada Jumat (22/5/2026) dipicu gangguan sistem transmisi akibat cuaca ekstrem.

Simak selengkapnya di https://t.co/WcdGYE1QdO
#HardNews_Viral #NewsOne #CariBeritaditvOne #PLN #Blackout #Sumatera #NO02 https://t.co/xPfXL5hPGa","2058104395397771499","https://pbs.twimg.com/media/HI_Utk2aEAAWql7.jpg","","in","","2","1","2","https://x.com/tvOneNews/status/2058104395397771499","55507370","tvOneNews"
"2057965870543159648","2026-05-22T23:24:33.000Z","62","Menurut kalian, apa yang harus kita lakukan jika ada pemadaman listrik massal atau blackout seperti yang terjadi di wilayah Sumatera tadi malam?","2057965870543159648","","","in","","7","37","1","https://x.com/misterdarwoto/status/2057965870543159648","65814790","misterdarwoto"
"2060193564571918672","2026-05-29T02:56:36.000Z","0","Makasi bnyk polda riau udh jgain prsimpangan jlan pas lmpu mrah pda mti mntep jg ya  

https://t.co/dgtDF0rdRR","2060193564571918672","","","in","","0","0","0","https://x.com/rhmtprayitno/status/2060193564571918672","1704708385030184960","rhmtprayitno"
"2058492232706245002","2026-05-24T10:16:07.000Z","0","Insiden pemadaman listrik massal (blackout) di sejumlah wilayah di Sumatera pada Jumat (22/5/2026) diselidiki Dittipidter Bareskrim Polri.

Baca selengkapnya: https://t.co/Gq0buMc9TK

#bareskrim #blackout #sumatera #listrikpadam DR https://t.co/UCQX6M2prc","2058492232706245002","https://pbs.twimg.com/media/HJE7xtXaIAAmaiL.jpg","","in","","0","1","1","https://x.com/suaradotcom/status/2058492232706245002","2340155395","suaradotcom"
